0,1.64,0,1.53,0,0,0,2.34,9.7,1.16,2.06,1.7,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
0,0,1.63,0,0,0,0,6.31,4.04,3.77,1.58,2.34,0,0,0,4.4,3.54,3.37,0,0,0,0,0,1.73,0,0,0,-0.42,1.48,0,0,0,5.66,2.09,5.25,3.37,4.78,0
0.78,1.79,1.79,1.79,1.79,0,0,0,0,0,0,0,1.79,1.79,2.27,1.79,1.79,2.1,0.79,1.79,1.79,1.79,4.33,2.57,3.31,1.51,5.05,2.58,2.58,1.79,1.79,3.21,0.79,1.28,4.16,1.79,3.09,4.59
4.24,0,2.55,6.06,1.37,0.78,-1,0.79,0.68,4.63,1.2,5.94,1.77,0,2.54,1.8,4.33,4.06,-1,2.45,2.55,0.78,0.73,0.27,1.32,0,4.2,-1,-1,2.41,0.78,2.49,0.79,9.42,0.64,-1,2.52,2.23
0,0,0,5.33,1.13,0,9.35,0,1.78,0.77,2.3,0,0,0,0.76,0.31,2.25,2.17,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,1.62,0,0,0,0
-1,0,-1,-1,-0.3,-1,-1,3.92,-1,-0.31,-1,0.65,0,0,-1,-1.24,-1,-1,-0.23,-1,-1,0.77,0.53,-1,-1,0,-1,-0.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.72,0,0,0,0.69,3.52,0,0,0,0.58,0,0.59,0,0,1.52,1.65,-0.49,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.5,0,0
0,0,0,0,0,0,0,0.69,0,0.76,2.23,0,0,0,0,8.13,2.3,2.33,1.71,1.77,1.31,2.06,0,8.2,0.77,0,4.68,4.52,2.3,0,0,0.73,3.67,2.1,1.5,0,1.78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.72,0,0,0,0,0,0,0.49,0.57,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.74,0,0,0,1.7,0.75,0,0.74,0,0.54,0.7,0.74,0,0,0,0,2.46,0,0,3.49,-0.44,0,0,0,0,0.63,0,0,0,0,0,1.78,0,0,0
0.68,0,2.41,2.16,2.37,1.55,0,4.72,0.99,12.42,0,2.12,0,0,0.97,1.37,1.48,0,1.5,0,0.76,0,0,0.55,0,0,0,0,0.6,0,0,1.75,0.77,0,1.44,0,0,0
2.27,0,1.68,0,6.52,1.73,6.54,0.62,1.91,0.63,0,0,0,0,2.1,1.31,0,0,0.78,2.11,1.55,0.78,0,0.49,0,0,0,0,0,0,0,0,3.43,1.81,8.95,0,0,1.76
0,0,1.75,1.78,0.75,0,1.78,0,0,1.39,0,0.63,0,0,1.49,0,0,1.68,0.78,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.57,0,0,0,0,0,0,0,0,0.78,0.52,1.62,0,0,0,0,0.7,0.75,0,0,5.29,0,1.13,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.05,0,13.09,5.97,4.64,1.78,-0.36,0,1.44,3.52,1.77,0,0,0,0.77,0.74,4.01,2.2,0,0.6,0.52,0,1.73,0.68,0,0,0.49,1.5,5.55,0,0,0,0.76,0.61,0,0,0,1.78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.4,0,0,0,0.75,0.77,1.49,0.78,0,0,0,0,0,0,0,0.76,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
0.67,0,0,3.47,2.99,6.19,23.44,6.61,26.53,13.77,-0.38,3.96,8.56,0.59,1.97,20.99,4.43,7.72,1.12,5.43,3.29,0.78,0,1.14,0,0,9.68,6.71,2.13,0.55,0,2.54,9.93,9.42,6.25,2.97,7.25,0.5
3.97,0,-1.87,-2.02,-0.32,5.67,1.93,2.94,4.85,6,2.73,2.36,3.54,1.13,9.36,16.32,-0.38,7.31,9.13,8.31,4.44,-1.27,3.61,5.22,3.56,2.23,5.38,4.94,1.57,2.36,2.39,1.21,-0.62,3.54,8.6,-0.11,1.12,3.08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,8.11,1.19,1.64,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.51,0,0,0,0,0,0,0,0.56,0,0,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,-0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
