webName,ID,elementID,firstName,secondName,fullName,cleanName
Andone,66,4,Florin,Andone,Florin Andone,Florin Andone
Button,179,1,David,Button,David Button,David Button
Steele,439,1,Jason,Steele,Jason Steele,Jason Steele
Bernardo,440,2,Bernardo,Fernandes da Silva Junior,Bernardo Fernandes da Silva Junior,Bernardo Fernandes da Silva Junior
Bissouma,466,3,Yves,Bissouma,Yves Bissouma,Yves Bissouma
Jahanbakhsh,476,3,Alireza,Jahanbakhsh,Alireza Jahanbakhsh,Alireza Jahanbakhsh
Montoya,503,2,Martín,Montoya,Martín Montoya,Martin Montoya
Gyokeres,551,4,Viktor,Gyokeres,Viktor Gyokeres,Viktor Gyokeres
White,559,2,Ben,White,Ben White,Ben White
Sanders,572,3,Max,Sanders,Max Sanders,Max Sanders
Burn,582,2,Dan,Burn,Dan Burn,Dan Burn
Molumby,617,3,Jayson,Molumby,Jayson Molumby,Jayson Molumby
Heaton,67,1,Tom,Heaton,Tom Heaton,Tom Heaton
Pope,68,1,Nick,Pope,Nick Pope,Nick Pope
Lowton,69,2,Matthew,Lowton,Matthew Lowton,Matthew Lowton
Mee,70,2,Ben,Mee,Ben Mee,Ben Mee
Ward,71,2,Stephen,Ward,Stephen Ward,Stephen Ward
Tarkowski,72,2,James,Tarkowski,James Tarkowski,James Tarkowski
Long,73,2,Kevin,Long,Kevin Long,Kevin Long
Taylor,74,2,Charlie,Taylor,Charlie Taylor,Charlie Taylor
Bardsley,75,2,Phil,Bardsley,Phil Bardsley,Phil Bardsley
Gudmundsson,76,3,Johann Berg,Gudmundsson,Johann Berg Gudmundsson,Johann Berg Gudmundsson
Defour,77,3,Steven,Defour,Steven Defour,Steven Defour
Hendrick,78,3,Jeff,Hendrick,Jeff Hendrick,Jeff Hendrick
Brady,79,3,Robbie,Brady,Robbie Brady,Robbie Brady
Westwood,80,3,Ashley,Westwood,Ashley Westwood,Ashley Westwood
Walters,81,3,Jonathan,Walters,Jonathan Walters,Jonathan Walters
Cork,82,3,Jack,Cork,Jack Cork,Jack Cork
Lennon,83,3,Aaron,Lennon,Aaron Lennon,Aaron Lennon
Vokes,84,4,Sam,Vokes,Sam Vokes,Sam Vokes
Barnes,85,4,Ashley,Barnes,Ashley Barnes,Ashley Barnes
Wells,86,4,Nahki,Wells,Nahki Wells,Nahki Wells
Wood,87,4,Chris,Wood,Chris Wood,Chris Wood
Lindegaard,485,1,Anders,Lindegaard,Anders Lindegaard,Anders Lindegaard
Hart,490,1,Joe,Hart,Joe Hart,Joe Hart
Gibson,491,2,Ben,Gibson,Ben Gibson,Ben Gibson
Vydra,495,4,Matej,Vydra,Matej Vydra,Matej Vydra
McNeil,534,3,Dwight,McNeil,Dwight McNeil,Dwight McNeil
Koiki,564,2,Abd-Al-Ali Morakinyo Olaposi,Koiki,Abd-Al-Ali Morakinyo Olaposi Koiki,AbdAlAli Morakinyo Olaposi Koiki
Benson,583,3,Josh,Benson,Josh Benson,Josh Benson
Crouch,590,4,Peter,Crouch,Peter Crouch,Peter Crouch
Driscoll-Glennon,615,2,Anthony,Driscoll-Glennon,Anthony Driscoll-Glennon,Anthony DriscollGlennon
Arter,33,3,Harry,Arter,Harry Arter,Harry Arter
Etheridge,88,1,Neil,Etheridge,Neil Etheridge,Neil Etheridge
Smithies,89,1,Alex,Smithies,Alex Smithies,Alex Smithies
Morrison,90,2,Sean,Morrison,Sean Morrison,Sean Morrison
Bamba,91,2,Sol,Bamba,Sol Bamba,Sol Bamba
Ecuele Manga,92,2,Bruno,Ecuele Manga,Bruno Ecuele Manga,Bruno Ecuele Manga
Connolly,93,2,Matthew,Connolly,Matthew Connolly,Matthew Connolly
Bennett,94,2,Joe,Bennett,Joe Bennett,Joe Bennett
Peltier,95,2,Lee,Peltier,Lee Peltier,Lee Peltier
Jazz Richards,96,2,Ashley Darel Jazz,Richards,Ashley Darel Jazz Richards,Ashley Darel Jazz Richards
Halford,97,2,Greg,Halford,Greg Halford,Greg Halford
Ralls,98,3,Joe,Ralls,Joe Ralls,Joe Ralls
Hoilett,99,3,David Junior,Hoilett,David Junior Hoilett,David Junior Hoilett
Mendez-Laing,100,3,Nathaniel,Mendez-Laing,Nathaniel Mendez-Laing,Nathaniel MendezLaing
Paterson,101,3,Callum,Paterson,Callum Paterson,Callum Paterson
Gunnarsson,102,3,Aron,Gunnarsson,Aron Gunnarsson,Aron Gunnarsson
Pilkington,103,3,Anthony,Pilkington,Anthony Pilkington,Anthony Pilkington
Damour,104,3,Loïc,Damour,Loïc Damour,Loic Damour
Ward,105,3,Danny,Ward,Danny Ward,Danny Ward
Murphy,106,3,Josh,Murphy,Josh Murphy,Josh Murphy
