ID,Name,URL,Change
1,Fantasy Football Pundits,https://fantasyfootballpundits.com/fpltips-team-selection-gameweek-XX/,XX
2,Fantasy Football Scout,https://www.fantasyfootballscout.co.uk/fpl-team-news-and-injury-round-up-gameweek-XX/,XX
3,Fantasy Football Geek,https://www.fantasyfootballgeek.co.uk/fantasy-premier-league-gwXX-tips-sinking-ships/,XX
4,FPL Connect,https://fplconnect.blog/fpl-captain-metric-gameweek-XX/,XX
5,FPL Connect,https://fplconnect.blog/premier-league-press-conference-round-up-fpl-gameweek-XX/,XX
