,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
1,76,78,75,96,82,84,71,65,79,65,69,79,65,47,89,76,83,82,81,66,61,97,73,82,83,68,108,58,72,60,81,62,99,66,79,84,76
2,73,87,66,88,92,97,76,72,76,66,74,75,65,56,93,66,79,88,76,80,73,89,87,89,86,77,112,84,65,76,88,62,92,63,84,85,88
3,80,92,72,79,87,83,93,67,80,64,68,89,70,59,88,81,85,82,75,65,82,107,72,93,84,78,102,76,66,75,75,62,96,66,81,94,97
