,PlayerID,Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds,elementID,BlogScore
925,465,Ibrahim Hassan,3,7,2,1,0,90,3,3,1,2,17,5,0,1,0,0.705,9.6,2.28,-26217,55,0,56.037101265822784,25.889873417721518,3,0.0
926,391,Lanzini,3,8,3,0,0,90,4,3,0,8,11,3,1,2,0,0.64,2.8,4.44,18263,65,34,56.037101265822784,25.889873417721518,3,2.69
927,285,Stiepermann,3,5,3,1,0,90,13,2,1,3,10,2,0,1,0,0.37,4.2,1.3199999999999998,-522,55,12,56.037101265822784,25.889873417721518,3,0.0
928,233,Rashford,3,6,4,0,0,90,20,3,0,6,6,4,1,13,0,0.92,6.7,8.959999999999997,173174,86,22,56.037101265822784,25.889873417721518,4,20.32
929,174,Albrighton,3,20,3,0,0,90,6,4,0,1,20,3,1,1,0,0.205,1.1,0.46,-1697,55,4,56.037101265822784,25.889873417721518,3,1.53
930,262,Dubravka,3,16,2,0,0,90,14,3,0,2,1,4,1,2,0,0.25,0.0,4.96,-4287,50,18,56.037101265822784,25.889873417721518,1,0.0
931,128,Kelly,3,2,2,0,0,90,15,3,0,2,8,2,1,6,0,0.0,0.0,0.0,-655,40,15,56.037101265822784,25.889873417721518,2,-1.0
932,38,Montoya,3,17,4,1,0,90,19,3,1,2,18,3,0,6,0,0.375,0.4,3.24,7874,45,11,56.037101265822784,25.889873417721518,2,3.4000000000000004
933,234,Greenwood,3,6,4,0,0,90,20,3,0,1,6,4,1,1,0,0.115,1.8,0.22000000000000006,-35589,45,5,56.037101265822784,25.889873417721518,4,0.0
934,463,Mount,3,12,4,1,0,90,9,3,1,10,12,5,0,2,0,1.235,9.7,7.52,196255,60,27,56.037101265822784,25.889873417721518,3,11.55
935,432,Kovacic,3,12,4,1,0,90,9,3,1,1,12,5,0,2,0,0.235,0.0,2.0,-7621,55,4,56.037101265822784,25.889873417721518,3,1.6
936,47,Ryan,3,17,4,1,0,90,19,3,1,2,18,3,0,9,0,0.54,4.0,1.24,-286026,45,12,56.037101265822784,25.889873417721518,2,5.82
937,21,Guendouzi,3,10,5,1,0,90,5,3,1,2,13,5,0,3,0,0.39,1.7,4.2,-3790,45,15,56.037101265822784,25.889873417721518,3,0.0
938,85,Lowton,3,14,3,0,0,90,1,4,0,1,16,2,1,6,0,0.29500000000000004,0.3,2.44,1307,45,12,56.037101265822784,25.889873417721518,2,0.0
939,401,Doherty,3,9,3,1,0,90,12,4,1,1,9,2,0,6,0,0.015,0.0,0.0,-4442,60,3,56.037101265822784,25.889873417721518,2,6.5200000000000005
940,251,Ritchie,3,16,2,0,0,90,14,3,0,1,1,4,1,2,0,0.5349999999999999,1.2,2.78,-3329,55,12,56.037101265822784,25.889873417721518,2,1.5
941,274,Aarons,3,5,3,1,0,90,13,2,1,1,10,2,0,0,0,0.0,0.0,0.0,-362,45,7,56.037101265822784,25.889873417721518,2,0.0
942,136,Meyer,3,2,2,0,0,90,15,3,0,2,8,2,1,2,0,0.395,5.7,1.82,-1299,55,8,56.037101265822784,25.889873417721518,3,0.61
943,143,Keane,3,19,3,1,0,90,18,2,1,6,7,2,0,8,0,0.28,0.0,5.54,23555,55,27,56.037101265822784,25.889873417721518,2,6.659999999999998
944,389,Antonio,3,8,3,0,0,90,4,3,0,1,11,3,1,1,0,0.0,0.0,0.0,-430,70,0,56.037101265822784,25.889873417721518,3,3.06
945,266,AlmirÃ³n,3,16,2,0,0,90,14,3,0,2,1,4,1,1,0,0.0,0.0,0.0,0,60,7,56.037101265822784,25.889873417721518,3,2.29
946,191,Salah,3,1,4,0,0,90,16,2,0,3,14,4,1,12,0,0.885,6.8,5.7200000000000015,-265142,125,0,56.037101265822784,25.889873417721518,3,95.92
947,496,Kean,3,19,3,1,0,90,18,2,1,1,7,2,0,1,0,0.025,0.5,0.1,-100955,70,1,56.037101265822784,25.889873417721518,4,2.05
948,288,Leitner,3,5,3,1,0,90,13,2,1,2,10,2,0,0,0,0.225,0.8,1.82,-684,45,22,56.037101265822784,25.889873417721518,3,0.0
949,349,Sissoko,3,4,3,0,0,90,11,5,0,2,2,2,1,5,0,0.4900000000000001,5.1,2.46,-1238,50,12,56.037101265822784,25.889873417721518,3,0.0
