,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
1,49,46,48,77,93,85,44,38,59,76,51,51,30,54,71,36,68,62,37,100,68,73,55,61,84,81,69,60,48,79,54,36,30,30,64,30,131
2,52,31,55,75,40,64,67,92,88,66,91,78,43,40,52,21,64,61,53,58,58,93,44,33,47,52,44,49,79,43,50,63,41,27,70,59,66
3,52,65,73,23,65,33,64,86,52,82,43,37,72,43,29,42,64,64,73,42,33,40,54,78,74,72,96,31,35,46,49,26,50,45,97,114,59
