Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Lössl,4,1,8,3,0,2,90,5,1,1,9,5,2,0,0,0,0.4,0.0,3.6,1581,45,8,88,53.37
Castro Otto,4,2,19,3,0,9,90,13,4,1,2,13,5,0,1,1,6.3,10.0,29.4,-2513,44,33,62.4,23.66
Hogg,4,3,8,3,0,0,0,5,1,1,0,5,2,0,0,0,0.0,0.0,0.0,-2351,45,0,88,53.37
Henderson,4,3,11,3,0,2,70,3,1,1,1,3,2,0,1,0,0.9,0.0,5.4,-6542,54,14,20.02,2.59
Pickford,4,1,10,1,1,3,90,2,3,0,2,2,2,1,3,0,3.0,0.0,30.2,-36184,50,18,20.97,11.15
Ibe,4,3,6,4,0,1,10,8,2,1,1,8,3,0,0,0,0.2,2.0,0.0,-2495,53,1,43.16,101.26
Frello Filho,4,3,2,2,1,3,90,15,3,0,2,15,2,1,2,0,3.0,9.0,9.4,28366,51,15,13.87,-3.2
Mato Sanmartín,4,4,13,5,0,1,17,6,4,1,7,6,4,0,2,0,2.1,17.0,3.4,43831,50,3,112.35,59.19
Gomez,4,2,11,3,0,2,90,3,1,1,8,3,2,0,6,0,3.8,4.0,23.4,54698,50,18,20.02,2.59
King,4,4,6,4,0,2,79,8,2,1,9,8,3,0,1,0,1.6,4.0,6.0,-22719,64,6,43.16,101.26
Murphy,4,3,1,4,1,0,0,10,2,0,3,10,1,1,3,0,0.0,0.0,0.0,-654,49,0,42.71,90.29
Holebas,4,2,17,4,1,10,90,7,2,1,9,7,2,0,2,1,8.9,8.0,51.2,156815,47,31,37.27,86.43
Santos Moutinho,4,3,19,3,0,3,90,13,4,1,6,13,5,0,2,0,7.4,2.0,29.2,9382,54,26,62.4,23.66
Locadia,4,4,9,1,1,1,16,12,5,0,1,12,4,1,1,0,2.2,17.0,3.0,-402,54,1,18.33,48.72
Harris,4,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,42.71,90.29
Schmeichel,4,1,12,4,1,1,90,16,2,0,3,16,2,1,6,0,1.6,0.0,16.2,-4420,50,11,44.7,94.5
Iheanacho,4,4,12,4,1,1,29,16,2,0,5,16,2,1,1,0,2.0,6.0,3.2,-5147,60,3,44.7,94.5
Zohore,4,4,1,4,1,1,6,10,2,0,1,10,1,1,2,0,2.0,2.0,4.0,-2735,49,4,42.71,90.29
Sema,4,3,17,4,1,0,0,7,2,1,1,7,2,0,1,0,0.0,0.0,0.0,-350,49,0,37.27,86.43
Arrizabalaga,4,1,2,2,1,6,90,15,3,0,2,15,2,1,2,0,1.2,0.0,12.2,6909,55,21,13.87,-3.2
McDonald,4,3,3,2,0,2,90,4,3,1,2,4,3,0,0,0,0.6,1.0,2.0,-845,45,9,69.01,29.82
Trippier,4,2,18,3,0,1,90,14,4,0,11,14,4,1,11,0,7.4,4.0,27.6,22053,60,28,7.11,31.09
Zouma,4,2,10,1,1,2,90,2,3,0,1,2,2,1,0,0,2.0,5.0,13.6,1732,50,11,20.97,11.15
Walker,4,2,15,2,1,10,90,20,3,0,2,20,3,1,0,1,6.7,14.0,47.0,-41681,65,27,-3.32,-8.39
Depoitre,4,4,8,3,0,1,1,5,1,1,1,5,2,0,1,0,0.0,0.0,0.0,-8090,54,3,88,53.37
Baines,4,2,10,1,1,1,14,2,3,0,1,2,2,1,2,0,2.2,0.0,3.4,-3717,55,4,20.97,11.15
Balogun,4,2,9,1,1,0,0,12,5,0,1,12,4,1,1,0,0.0,0.0,0.0,517,44,0,18.33,48.72
Sané,4,3,15,2,1,0,0,20,3,0,1,20,3,1,4,0,0.0,0.0,0.0,-130429,93,0,-3.32,-8.39
Cook,4,3,6,4,0,1,2,8,2,1,1,8,3,0,1,0,0.3,0.0,1.6,-1346,49,4,43.16,101.26
Pérez,4,4,20,3,1,0,0,1,4,0,1,1,4,1,1,0,0.0,0.0,0.0,-1702,64,0,56.93,20.65
Rodrigues Moura da Silva,4,3,18,3,0,5,90,14,4,0,15,14,4,1,7,0,4.9,13.0,10.2,558760,72,15,7.11,31.09
Torreira,4,3,5,2,0,4,20,19,3,1,1,19,3,0,1,0,3.9,0.0,26.8,-8565,49,20,5.21,24.88
Vietto,4,4,3,2,0,2,73,4,3,1,9,4,3,0,0,0,2.4,20.0,0.8,16931,55,9,69.01,29.82
Fabianski,4,1,20,3,1,3,90,1,4,0,5,1,4,1,2,0,3.8,0.0,37.8,-20243,45,19,56.93,20.65
Milivojevic,4,3,16,2,1,2,90,18,3,0,2,18,3,1,2,0,7.1,7.0,30.2,-44605,64,10,41.36,19.32
Shaw,4,2,4,3,0,5,90,17,4,1,1,17,5,0,4,0,7.3,38.0,20.6,-13216,51,21,27.61,12.15
Mousset,4,4,6,4,0,1,10,8,2,1,1,8,3,0,0,0,0.1,0.0,0.2,-2037,50,3,43.16,101.26
Sakho,4,2,16,2,1,1,90,18,3,0,3,18,3,1,1,0,2.3,0.0,22.6,248,50,16,41.36,19.32
Alonso,4,2,2,2,1,9,90,15,3,0,11,15,2,1,13,1,9.8,51.0,31.6,331715,67,29,13.87,-3.2
Bettinelli,4,1,3,2,0,7,90,4,3,1,0,4,3,0,0,0,4.7,0.0,46.8,-534,44,29,69.01,29.82
Albrighton,4,3,12,4,1,2,60,16,2,0,4,16,2,1,1,0,3.8,3.0,11.8,-3366,53,11,44.7,94.5
Lemina,4,3,7,2,0,3,90,11,3,1,2,11,3,0,4,0,2.8,0.0,21.6,-39,50,13,72.4,38.04
Arnautovic,4,4,20,3,1,2,90,1,4,0,5,1,4,1,8,0,4.2,34.0,6.8,-71323,70,0,56.93,20.65
Fellaini,4,3,4,3,0,3,90,17,4,1,1,17,5,0,4,0,2.6,0.0,20.8,-2770,50,16,27.61,12.15
Dubravka,4,1,13,5,0,3,90,6,4,1,1,6,4,0,6,0,4.7,0.0,47.4,-642,50,22,112.35,59.19
Kelly,4,2,16,2,1,1,90,18,3,0,1,18,3,1,0,0,2.9,0.0,24.2,-15177,40,12,41.36,19.32
Montoya,4,2,9,1,1,1,90,12,5,0,2,12,4,1,1,0,6.4,6.0,24.0,826,45,16,18.33,48.72
Holgate,4,2,10,1,1,1,90,2,3,0,1,2,2,1,2,0,3.5,0.0,33.4,6121,45,14,20.97,11.15
Kovacic,4,3,2,2,1,3,78,15,3,0,2,15,2,1,1,0,10.6,58.0,18.0,-2389,60,15,13.87,-3.2
Ryan,4,2,9,1,1,2,90,12,5,0,4,12,4,1,1,0,2.3,0.0,23.2,1094,45,14,18.33,48.72
Jorgensen,4,2,8,3,0,1,90,5,1,1,6,5,2,0,0,0,2.1,2.0,19.0,-16787,45,5,88,53.37
Guendouzi,4,3,5,2,0,1,69,19,3,1,1,19,3,0,2,0,0.8,0.0,5.4,14937,45,10,5.21,24.88
Lowton,4,2,14,4,1,0,0,9,2,0,0,9,1,1,1,0,0.0,0.0,0.0,-7962,49,0,84.37,46.77
Doherty,4,2,19,3,0,6,90,13,4,1,2,13,5,0,-1,0,8.4,36.0,23.0,-1917,44,26,62.4,23.66
Ritchie,4,3,13,5,0,0,0,6,4,1,1,6,4,0,2,0,0.0,0.0,0.0,-13232,60,0,112.35,59.19
Le Marchand,4,2,3,2,0,0,90,4,3,1,1,4,3,0,2,0,1.3,0.0,9.8,-956,45,6,69.01,29.82
Meyer,4,3,16,2,1,1,14,18,3,0,3,18,3,1,1,0,3.8,22.0,3.2,-1046,59,4,41.36,19.32
Keane,4,2,10,1,1,0,0,2,3,0,10,2,2,1,2,0,0.0,0.0,0.0,-48023,50,0,20.97,11.15
Antonio,4,3,20,3,1,3,74,1,4,0,2,1,4,1,0,0,11.3,95.0,4.8,-6586,69,2,56.93,20.65
Diamé,4,3,13,5,0,2,90,6,4,1,2,6,4,0,3,0,1.3,2.0,6.8,-292,50,6,112.35,59.19
Elyounoussi,4,3,7,2,0,3,72,11,3,1,2,11,3,0,0,0,6.2,26.0,6.0,-1166,64,5,72.4,38.04
Salah,4,3,11,3,0,2,70,3,1,1,8,3,2,0,9,0,4.1,23.0,5.0,32547,130,7,20.02,2.59
Dembélé,4,3,18,3,0,1,85,14,4,0,3,14,4,1,1,0,0.4,0.0,1.2,-1686,49,5,7.11,31.09
Kanté,4,3,2,2,1,2,90,15,3,0,2,15,2,1,2,0,1.9,2.0,8.0,-17662,50,10,13.87,-3.2
Keita,4,3,11,3,0,1,19,3,1,1,3,3,2,0,3,0,1.0,0.0,8.2,-30320,75,3,20.02,2.59
Monreal,4,2,5,2,0,0,90,19,3,1,10,19,3,0,1,0,5.5,30.0,18.8,45778,55,9,5.21,24.88
Mendy,4,2,12,4,1,1,90,16,2,0,2,16,2,1,3,0,1.4,0.0,8.4,10902,45,13,44.7,94.5
Mendez-Laing,4,3,1,4,1,0,0,10,2,0,1,10,1,1,1,0,0.0,0.0,0.0,-849,49,0,42.71,90.29
Aké,4,2,6,4,0,1,90,8,2,1,8,8,3,0,2,0,2.5,7.0,18.2,17334,50,7,43.16,101.26
Redmond,4,3,7,2,0,3,90,11,3,1,2,11,3,0,2,0,7.7,37.0,17.0,-2235,54,13,72.4,38.04
Etheridge,4,1,1,4,1,3,90,10,2,0,6,10,1,1,16,0,5.8,0.0,58.0,96061,46,23,42.71,90.29
Matic,4,3,4,3,0,3,90,17,4,1,2,17,5,0,0,0,2.1,5.0,7.2,36,50,12,27.61,12.15
Giroud,4,4,2,2,1,4,29,15,3,0,1,15,2,1,1,0,5.2,12.0,17.2,-17292,79,9,13.87,-3.2
Romeu Vidal,4,3,7,2,0,1,12,11,3,1,1,11,3,0,1,0,0.3,0.0,2.6,-12091,45,2,72.4,38.04
Groß,4,3,9,1,1,-1,59,12,5,0,1,12,4,1,10,0,5.1,19.0,7.8,-2102,69,-3,18.33,48.72
van Aanholt,4,2,16,2,1,1,90,18,3,0,1,18,3,1,0,0,7.3,37.0,13.6,-14634,55,13,41.36,19.32
Gazzaniga,4,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,7.11,31.09
Dummett,4,2,13,5,0,1,90,6,4,1,1,6,4,0,6,0,1.8,1.0,16.6,-583,45,15,112.35,59.19
Pogba,4,3,4,3,0,1,90,17,4,1,2,17,5,0,8,0,8.0,29.0,12.6,-39809,82,-1,27.61,12.15
Rodríguez Ledesma,4,3,2,2,1,6,25,15,3,0,3,15,2,1,8,0,9.1,38.0,39.6,154035,67,25,13.87,-3.2
Cech,4,1,5,2,0,1,90,19,3,1,3,19,3,0,3,0,0.2,0.0,2.4,9582,50,8,5.21,24.88
Billing,4,3,8,3,0,9,90,5,1,1,3,5,2,0,1,1,9.6,25.0,58.0,5470,45,37,88,53.37
Jones,4,2,4,3,0,0,0,17,4,1,0,17,5,0,0,0,0.0,0.0,0.0,-22140,52,0,27.61,12.15
Aubameyang,4,4,5,2,0,8,88,19,3,1,2,19,3,0,2,1,7.5,29.0,39.6,-125640,109,33,5.21,24.88
Højbjerg,4,3,7,2,0,9,90,11,3,1,-1,11,3,0,0,1,10.2,25.0,51.8,309,44,34,72.4,38.04
Ghezzal,4,3,12,4,1,8,90,16,2,0,1,16,2,1,0,1,9.9,19.0,44.6,-1416,53,28,44.7,94.5
Sterling,4,4,15,2,1,10,90,20,3,0,2,20,3,1,0,1,12.7,45.0,46.2,-20320,110,30,-3.32,-8.39
van La Parra,4,3,8,3,0,2,90,5,1,1,3,5,2,0,0,0,3.7,4.0,10.8,-144,49,9,88,53.37
Jiménez,4,4,19,3,0,2,86,13,4,1,2,13,5,0,2,0,4.0,28.0,3.2,11337,55,1,62.4,23.66
Barbosa Pereira,4,2,12,4,1,1,90,16,2,0,2,16,2,1,12,0,2.3,2.0,13.8,-3860,51,15,44.7,94.5
de Andrade,4,3,10,1,1,0,0,2,3,0,-2,2,2,1,9,0,0.0,0.0,0.0,-1156152,67,0,20.97,11.15
Mahrez,4,3,15,2,1,2,75,20,3,0,1,20,3,1,1,0,7.5,31.0,6.2,-58220,88,15,-3.32,-8.39
Firmino,4,4,11,3,0,7,90,3,1,1,5,3,2,0,2,0,10.4,44.0,46.2,-154250,95,26,20.02,2.59
Pereyra,4,3,17,4,1,2,90,7,2,1,8,7,2,0,2,0,2.0,14.0,5.0,269793,62,4,37.27,86.43
Snodgrass,4,3,20,3,1,1,45,1,4,0,2,1,4,1,2,0,1.3,14.0,0.0,241,55,0,56.93,20.65
Lukaku,4,4,4,3,0,12,90,17,4,1,2,17,5,0,8,1,25.2,116.0,82.4,-36579,110,50,27.61,12.15
Barkley,4,3,2,2,1,0,0,15,3,0,1,15,2,1,1,0,0.0,0.0,0.0,-3619,59,0,13.87,-3.2
dos Santos Patrício,4,1,19,3,0,7,90,13,4,1,3,13,5,0,1,0,2.4,0.0,23.8,-648,45,26,62.4,23.66
Bennett,4,2,19,3,0,5,90,13,4,1,2,13,5,0,1,0,1.6,0.0,15.8,57465,40,26,62.4,23.66
Bertrand,4,2,7,2,0,6,90,11,3,1,7,11,3,0,1,0,2.3,1.0,6.6,-3729,50,25,72.4,38.04
Fraser,4,1,6,4,0,2,90,8,2,1,2,8,3,0,6,0,3.2,26.0,4.0,16074,56,3,43.16,101.26
Fredericks,4,2,20,3,1,1,90,1,4,0,0,1,4,1,0,0,3.6,4.0,15.8,-2944,49,4,56.93,20.65
Schofield,4,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,88,53.37
Sessegnon,4,2,3,2,0,1,16,4,3,1,1,4,3,0,5,0,3.0,19.0,10.2,-67065,64,3,69.01,29.82
da Silva Neves,4,3,19,3,0,3,90,13,4,1,2,13,5,0,2,0,2.1,9.0,9.4,105644,52,11,62.4,23.66
Silva Nascimento Vinagre,4,2,19,3,0,1,3,13,4,1,1,13,5,0,0,0,0.0,0.0,0.0,-396,44,2,62.4,23.66
Mané,4,3,11,3,0,10,90,3,1,1,3,3,2,0,10,1,7.3,21.0,39.2,72103,99,29,20.02,2.59
Rondón,4,4,13,5,0,5,72,6,4,1,2,6,4,0,0,0,3.8,6.0,20.6,-9247,59,17,112.35,59.19
Vokes,4,4,14,4,1,1,32,9,2,0,1,9,1,1,1,0,7.4,57.0,5.2,-6818,54,-5,84.37,46.77
Coleman,4,1,10,1,1,2,90,2,3,0,1,2,2,1,2,0,2.8,9.0,16.4,-10334,54,13,20.97,11.15
Morrison,4,2,1,4,1,4,90,10,2,0,6,10,1,1,6,0,9.0,15.0,44.6,-1754,50,23,42.71,90.29
Aurier,4,2,18,3,0,0,0,14,4,0,1,14,4,1,0,0,0.0,0.0,0.0,-5019,59,0,7.11,31.09
Agüero,4,4,15,2,1,6,90,20,3,0,2,20,3,1,20,0,11.3,39.0,24.4,189610,113,23,-3.32,-8.39
Duffy,4,2,9,1,1,1,90,12,5,0,2,12,4,1,7,0,2.0,2.0,18.0,8883,45,13,18.33,48.72
Long,4,4,7,2,0,2,61,11,3,1,2,11,3,0,1,0,6.1,47.0,0.2,-2890,49,-1,72.4,38.04
Okazaki,4,4,12,4,1,1,14,16,2,0,1,16,2,1,0,0,0.8,0.0,5.0,-4027,54,5,44.7,94.5
Mustafi,4,2,5,2,0,8,90,19,3,1,2,19,3,0,0,1,11.1,42.0,54.0,-3917,54,27,5.21,24.88
Papastathopoulos,4,2,5,2,0,1,90,19,3,1,1,19,3,0,1,0,1.4,2.0,10.8,-11689,54,12,5.21,24.88
March,4,3,9,1,1,2,90,12,5,0,2,12,4,1,5,0,7.8,48.0,12.2,1934,50,7,18.33,48.72
Bamba,4,2,1,4,1,1,90,10,2,0,8,10,1,1,6,0,2.0,4.0,15.8,14918,45,9,42.71,90.29
Ward,4,1,14,4,1,0,0,9,2,0,1,9,1,1,0,0,0.0,0.0,0.0,-16843,50,0,84.37,46.77
Cook,4,3,6,4,0,1,90,8,2,1,1,8,3,0,14,0,4.6,19.0,26.6,27440,46,11,43.16,101.26
Mounie,4,4,8,3,0,2,90,5,1,1,2,5,2,0,5,0,6.8,37.0,18.6,-2791,60,7,88,53.37
Armstrong,4,3,7,2,0,0,0,11,3,1,1,11,3,0,1,0,0.0,0.0,0.0,-1480,54,0,72.4,38.04
Ki,4,3,13,5,0,2,90,6,4,1,2,6,4,0,0,0,2.8,0.0,16.8,-787,49,13,112.35,59.19
Kongolo,4,2,8,3,0,2,90,5,1,1,6,5,2,0,-3,0,3.8,2.0,25.8,-70,45,18,88,53.37
Walcott,4,3,10,1,1,1,56,2,3,0,7,2,2,1,13,0,3.9,22.0,1.6,737984,68,2,20.97,11.15
Fosu-Mensah,4,2,3,2,0,1,90,4,3,1,1,4,3,0,1,0,2.7,2.0,10.8,-1507,45,14,69.01,29.82
Alderweireld,4,2,18,3,0,1,80,14,4,0,6,14,4,1,2,0,3.8,0.0,19.4,523,59,15,7.11,31.09
Cairney,4,3,3,2,0,0,0,4,3,1,5,4,3,0,2,0,0.0,0.0,0.0,-20115,49,0,69.01,29.82
Davies,4,2,10,1,1,1,90,2,3,0,2,2,2,1,2,0,2.6,0.0,8.6,-558,54,6,20.97,11.15
Alexander-Arnold,4,2,11,3,0,2,88,3,1,1,5,3,2,0,5,0,1.2,1.0,10.0,12728,50,12,20.02,2.59
Deeney,4,4,17,4,1,7,90,7,2,1,2,7,2,0,12,0,8.4,38.0,43.2,-2422,60,29,37.27,86.43
Browning,4,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,20.97,11.15
Lindelöf,4,2,4,3,0,6,90,17,4,1,1,17,5,0,1,0,1.6,0.0,16.0,-10013,49,27,27.61,12.15
Kompany,4,2,15,2,1,1,1,20,3,0,1,20,3,1,2,0,0.0,0.0,0.0,-4683,54,3,-3.32,-8.39
van Dijk,4,2,11,3,0,1,90,3,1,1,8,3,2,0,6,0,2.1,0.0,20.6,5768,60,9,20.02,2.59
Camarasa,4,3,1,4,1,6,88,10,2,0,3,10,1,1,2,0,5.4,17.0,35.2,1197,45,15,42.71,90.29
Hennessey,4,1,16,2,1,8,90,18,3,0,2,18,3,1,2,1,6.1,0.0,60.8,36357,45,34,41.36,19.32
Hoedt,4,2,7,2,0,6,90,11,3,1,1,11,3,0,0,0,3.2,0.0,31.0,-1770,45,27,72.4,38.04
Morgan,4,3,12,4,1,1,90,16,2,0,2,16,2,1,0,0,2.5,2.0,22.8,-5234,45,7,44.7,94.5
Ndidi,4,3,12,4,1,1,90,16,2,0,2,16,2,1,3,0,3.2,15.0,14.4,-2692,50,16,44.7,94.5
Zaha,4,4,16,2,1,0,0,18,3,0,5,18,3,1,2,0,0.0,0.0,0.0,75008,71,0,41.36,19.32
Borges Da Silva,4,3,2,2,1,3,64,15,3,0,1,15,2,1,2,0,10.0,27.0,18.6,-80983,74,16,13.87,-3.2
Boly,4,2,19,3,0,8,90,13,4,1,8,13,5,0,1,1,2.8,0.0,27.2,11166,45,28,62.4,23.66
Hughes,4,3,17,4,1,2,85,7,2,1,2,7,2,0,8,0,2.4,2.0,9.0,8753,50,13,37.27,86.43
Muto,4,4,13,5,0,0,0,6,4,1,1,6,4,0,1,0,0.0,0.0,0.0,-907,59,0,112.35,59.19
Bissouma,4,3,9,1,1,1,30,12,5,0,2,12,4,1,0,0,0.6,5.0,0.0,-3,50,1,18.33,48.72
Morata,4,4,2,2,1,2,60,15,3,0,2,15,2,1,6,0,4.5,41.0,1.4,-11273,90,3,13.87,-3.2
Cresswell,5,2,8,3,0,0,0,20,3,1,1,20,3,0,0,0,0.0,0.0,0.0,-6122,53,0,29.01,75.6
Lennon,5,3,20,3,0,2,90,14,4,1,2,14,4,0,2,0,1.1,2.0,8.2,-30,50,6,80.92,49.54
Mooy,5,3,7,2,1,2,90,8,3,0,2,8,2,1,3,0,5.8,22.0,9.4,-11626,54,12,62.86,36.38
Ramsey,5,3,15,3,0,3,79,5,2,0,2,5,1,1,2,0,4.6,2.0,12.0,3939,74,12,9.76,41.92
Wan-Bissaka,5,2,10,2,0,9,90,16,2,1,0,16,2,0,0,1,3.0,0.0,28.0,41697,41,33,48.74,27.33
Doucouré,5,3,14,4,1,8,90,17,4,1,0,17,4,1,2,1,6.4,19.0,31.0,-8815,59,28,75.21,35.76
Diakhaby,5,3,7,2,1,1,22,8,3,0,1,8,2,1,3,0,0.5,2.0,1.4,-245,49,2,62.86,36.38
Traoré,5,3,4,3,1,1,24,19,3,0,8,19,3,1,1,0,6.4,25.0,11.6,19455,55,7,28.39,16.2
Smith,5,2,11,3,1,7,90,6,4,0,2,6,4,1,-2,0,5.9,21.0,34.6,-1406,45,19,19.2,54.95
Lookman,5,3,19,3,1,1,13,10,1,1,1,10,2,0,0,0,0.4,2.0,0.2,-406,52,3,12.35,44.26
Mariappa,5,2,14,4,1,0,0,17,4,1,1,17,4,1,0,0,0.0,0.0,0.0,-571,43,0,75.21,35.76
Mitrovic,5,4,13,5,0,2,90,3,2,0,5,3,1,1,16,0,1.5,13.0,0.0,350301,68,3,58.36,114.12
Sørloth,5,4,10,2,0,0,0,16,2,1,1,16,2,0,1,0,0.0,0.0,0.0,-229,50,0,48.74,27.33
Lacazette,5,4,15,3,0,5,90,5,2,0,12,5,1,1,4,0,8.8,48.0,10.0,67926,94,11,9.76,41.92
Sánchez,5,3,18,3,0,2,83,4,3,0,5,4,3,1,1,0,4.9,21.0,10.4,-7458,102,5,40.85,15.76
McCarthy,5,1,3,1,1,0,90,7,2,0,8,7,2,1,2,0,1.4,0.0,14.2,73510,45,8,39.38,21.44
Mawson,5,2,13,5,0,1,90,3,2,0,1,3,1,1,0,0,3.0,0.0,29.2,-400,50,17,58.36,114.12
Jahanbakhsh,5,3,16,2,0,1,19,9,1,1,1,9,2,0,1,0,2.0,21.0,0.0,-3863,68,1,72.13,41.6
Ramses Becker,5,1,17,5,0,2,90,11,3,0,3,11,3,1,6,0,1.6,0.0,16.4,-8604,56,14,14.23,53.83
Herrera,5,3,18,3,0,0,0,4,3,0,1,4,3,1,0,0,0.0,0.0,0.0,-425,50,0,40.85,15.76
Robertson,5,2,17,5,0,2,90,11,3,0,5,11,3,1,9,0,3.3,0.0,20.4,102355,61,10,14.23,53.83
Gray,5,4,14,4,1,8,90,17,4,1,2,17,4,1,2,1,8.2,31.0,38.2,-1355,60,27,75.21,35.76
Yarmolenko,5,3,8,3,0,13,81,20,3,1,1,20,3,0,1,1,11.3,36.0,66.0,-2744,68,36,29.01,75.6
Townsend,5,3,10,2,0,3,90,16,2,1,2,16,2,0,2,0,4.2,28.0,8.4,-7823,59,4,48.74,27.33
Zambo Anguissa,5,3,13,5,0,1,34,3,2,0,2,3,1,1,1,0,0.7,0.0,5.4,-478,45,5,58.36,114.12
Schürrle,5,3,13,5,0,2,90,3,2,0,7,3,1,1,6,0,3.7,24.0,10.6,64389,59,4,58.36,114.12
Knockaert,5,3,16,2,0,4,90,9,1,1,6,9,2,0,2,0,11.4,37.0,31.6,5228,55,20,72.13,41.6
Rüdiger,5,2,5,1,1,2,90,2,2,1,6,2,3,0,2,0,5.0,18.0,20.0,-752,60,15,2.2,-3.58
Valencia,5,2,18,3,0,1,90,4,3,0,7,4,3,1,0,0,1.8,0.0,10.2,1983,65,12,40.85,15.76
Barnes,5,3,20,3,0,1,55,14,4,1,1,14,4,0,1,0,3.2,18.0,2.4,-4661,58,2,80.92,49.54
Westwood,5,3,20,3,0,1,11,14,4,1,2,14,4,0,2,0,0.8,0.0,3.8,-1100,45,4,80.92,49.54
Begovic,5,1,11,3,1,2,90,6,4,0,2,6,4,1,1,0,3.9,0.0,38.8,1741,45,20,19.2,54.95
Laporte,5,2,9,1,1,6,90,15,2,1,2,15,3,0,8,0,4.5,10.0,18.8,12186,55,29,-5.47,-9.84
Pérez,5,4,1,4,1,2,90,13,5,0,2,13,4,1,1,0,3.6,8.0,12.6,-12856,63,4,29.41,78.41
Alli,5,3,12,4,1,0,0,18,3,0,2,18,3,0,3,0,0.0,0.0,0.0,-113584,91,0,21.67,68.08
Chilwell,5,2,2,3,0,0,90,12,4,1,1,12,5,0,2,0,2.0,8.0,6.4,3103,50,10,24.36,64.71
Mendy,5,2,9,1,1,0,0,15,2,1,5,15,3,0,4,0,0.0,0.0,0.0,182179,65,0,-5.47,-9.84
Davies,5,2,12,4,1,0,0,18,3,0,1,18,3,0,1,0,0.0,0.0,0.0,-45483,58,0,21.67,68.08
Foster,5,1,14,4,1,2,90,17,4,1,2,17,4,1,2,0,2.7,0.0,27.2,-8563,45,17,75.21,35.76
Mee,5,2,20,3,0,2,90,14,4,1,1,14,4,0,3,0,2.8,4.0,23.4,-30135,50,14,80.92,49.54
Veiga de Carvalho e Silva,5,3,9,1,1,3,90,15,2,1,1,15,3,0,2,0,13.7,59.0,16.6,-120350,75,12,-5.47,-9.84
Reid,5,2,6,4,0,2,70,1,4,1,2,1,4,0,1,0,0.5,8.0,0.0,-3681,54,2,106.57,59.6
Bonatini,5,4,4,3,1,1,14,19,3,0,4,19,3,1,0,0,4.4,49.0,0.0,5081,49,-4,28.39,16.2
Ecuele Manga,5,2,6,4,0,0,90,1,4,1,1,1,4,0,6,0,2.7,0.0,12.4,-288,45,11,106.57,59.6
Wilson,5,4,11,3,1,4,90,6,4,0,2,6,4,1,8,0,6.4,22.0,17.2,214737,63,13,19.2,54.95
Chambers,5,2,13,5,0,0,0,3,2,0,1,3,1,1,1,0,0.0,0.0,0.0,-9195,44,0,58.36,114.12
Sánchez,5,3,8,3,0,1,19,20,3,1,2,20,3,0,2,0,1.2,8.0,3.4,-675,45,4,29.01,75.6
Tosun,5,4,19,3,1,2,68,10,1,1,2,10,2,0,4,0,5.2,44.0,5.6,-33117,70,3,12.35,44.26
Austin,5,4,3,1,1,0,0,7,2,0,-1,7,2,1,1,0,0.0,0.0,0.0,-14220,57,0,39.38,21.44
Taylor,5,2,20,3,0,1,90,14,4,1,1,14,4,0,1,0,2.6,0.0,20.0,-678,44,9,80.92,49.54
Kouyaté,5,3,10,2,0,3,90,16,2,1,1,16,2,0,0,0,2.0,0.0,17.0,-1596,48,11,48.74,27.33
Atsu,5,3,1,4,1,0,0,13,5,0,1,13,4,1,0,0,0.0,0.0,0.0,-611,53,0,29.41,78.41
Benteke,5,4,10,2,0,0,0,16,2,1,2,16,2,0,2,0,0.0,0.0,0.0,-13231,65,0,48.74,27.33
Eriksen,5,3,12,4,1,5,90,18,3,0,2,18,3,0,6,0,8.1,13.0,26.8,-74228,93,22,21.67,68.08
Kabasele,5,2,14,4,1,1,90,17,4,1,2,17,4,1,2,0,7.4,51.0,22.6,-3322,45,9,75.21,35.76
Schindler,5,2,7,2,1,2,90,8,3,0,2,8,2,1,9,0,1.8,9.0,8.6,-6614,44,9,62.86,36.38
Löwe,5,2,7,2,1,2,90,8,3,0,6,8,2,1,0,0,8.1,0.0,23.4,-100,45,22,62.86,36.38
Smalling,5,2,18,3,0,10,90,4,3,0,7,4,3,1,1,1,9.7,37.0,59.2,-2753,58,27,40.85,15.76
Wood,5,4,20,3,0,1,20,14,4,1,2,14,4,0,2,0,0.1,0.0,0.0,-2240,64,2,80.92,49.54
Clark,5,2,1,4,1,6,45,13,5,0,1,13,4,1,1,0,5.7,17.0,39.2,-1114,45,15,29.41,78.41
Coady,5,2,4,3,1,6,90,19,3,0,8,19,3,1,1,0,1.6,0.0,12.6,208,45,26,28.39,16.2
Cathcart,5,2,14,4,1,1,87,17,4,1,11,17,4,1,2,0,1.5,0.0,14.4,29701,45,17,75.21,35.76
