,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38,
1,34,52,85,42,37,95,67,94,39,23,80,58,82,60,69,45,83,89,68,54,61,59,40,36,69,63,84,53,26,37,65,79,30,37,89,39,51,2175
2,31,47,51,49,75,90,68,98,95,89,65,110,66,27,62,51,86,62,63,63,34,42,35,97,99,69,101,26,50,24,35,57,75,83,74,108,75,2434
3,31,33,55,31,45,45,51,102,74,86,26,33,89,19,68,80,81,68,72,63,71,75,68,57,35,42,20,8,37,52,84,28,76,62,63,60,102,2095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234.666667
