,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
1,89,92,92,94,101,104,105,102,91,84,103,102,104,70,112,95,91,116,96,94,97,112,95,116,118,104,118,84,86,77,90,78,116,83,94,104,99
2,89,92,92,94,101,104,105,102,91,84,103,102,104,70,112,95,91,116,96,94,97,112,95,116,118,104,118,84,86,77,90,78,116,83,94,104,99
3,89,92,92,94,101,104,105,102,91,84,103,102,104,70,112,95,91,116,96,94,97,112,95,116,118,104,118,84,86,77,90,78,116,83,94,104,99
