,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
1,73,50,46,94,80,63,68,64,77,58,77,93,41,42,116,62,43,84,78,68,83,102,89,87,66,44,69,80,32,69,35,19,52,40,44,62,40
2,55,27,34,69,66,59,87,72,87,68,46,82,8,44,25,29,53,61,46,22,47,21,47,55,97,72,59,35,33,65,51,22,97,46,102,37,85
3,16,49,54,27,54,36,35,58,50,65,79,74,52,54,87,49,81,89,84,60,89,30,41,70,68,45,60,56,49,65,23,30,80,58,64,73,66
