,player_id_x,name,plural_name_short,assists_x,attempted_passes_x,big_chances_created_x,big_chances_missed_x,bps_x,clean_sheets_x,clearances_blocks_interceptions_x,completed_passes_x,creativity_x,dribbles_x,ea_index_x,errors_leading_to_goal_x,errors_leading_to_goal_attempt_x,goals_conceded_x,goals_scored_x,ict_index_x,influence_x,key_passes_x,loaned_in_x,loaned_out_x,minutes_x,open_play_crosses_x,opponent_team_x,own_goals_x,penalties_conceded_x,penalties_missed_x,penalties_saved_x,saves_x,tackles_x,target_missed_x,threat_x,winning_goals_x,value_x,difficulty,total_points_y
15,17.0,Granit Xhaka,MID,0.0,43.0,0.0,0.0,10.0,0.0,2.0,35.0,1.3,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.8,0.0,0.0,0.0,69.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,4,0.0
16,18.0,Henrikh Mkhitaryan,MID,0.0,31.0,0.0,0.0,11.0,0.0,0.0,24.0,22.3,0.0,0.0,0.0,0.0,2.0,0.0,8.1,16.6,2.0,0.0,0.0,90.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,70.0,4,12.0
17,19.0,Reiss Nelson,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
18,20.0,Ainsley Maitland-Niles,MID,0.0,13.0,0.0,0.0,7.0,0.0,2.0,11.0,10.3,2.0,0.0,0.0,0.0,1.0,0.0,2.1,10.8,1.0,0.0,0.0,34.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
19,450.0,Lucas Torreira,MID,0.0,15.0,0.0,0.0,5.0,0.0,2.0,14.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.8,0.0,0.0,0.0,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4,1.0
20,451.0,Matteo Guendouzi,MID,0.0,47.0,0.0,0.0,15.0,0.0,5.0,38.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.5,11.4,0.0,0.0,0.0,90.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45.0,4,2.0
21,21.0,Danny Welbeck,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4,0.0
22,22.0,Alexandre Lacazette,FWD,0.0,7.0,0.0,1.0,-4.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,95.0,4,1.0
23,23.0,Pierre-Emerick Aubameyang,FWD,0.0,20.0,0.0,0.0,5.0,0.0,0.0,14.0,12.2,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.0,1.0,0.0,0.0,90.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,110.0,4,2.0
24,1.0,Petr Cech,GKP,0.0,35.0,0.0,0.0,26.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.3,53.0,0.0,0.0,0.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,50.0,4,3.0
25,2.0,Bernd Leno,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4,0.0
26,3.0,Laurent Koscielny,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4,0.0
27,4.0,Héctor Bellerín,DEF,0.0,46.0,1.0,0.0,16.0,0.0,5.0,36.0,16.8,0.0,0.0,0.0,0.0,3.0,0.0,3.8,17.2,1.0,0.0,0.0,90.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,55.0,4,5.0
28,5.0,Nacho Monreal,DEF,0.0,35.0,0.0,0.0,14.0,0.0,5.0,31.0,16.2,0.0,0.0,0.0,0.0,3.0,0.0,5.3,15.2,1.0,0.0,0.0,90.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,55.0,4,10.0
29,6.0,Rob Holding,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
30,7.0,Shkodran Mustafi,DEF,0.0,64.0,0.0,0.0,11.0,0.0,10.0,56.0,10.2,0.0,0.0,0.0,0.0,3.0,0.0,3.8,27.6,1.0,0.0,0.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4,2.0
31,8.0,Sead Kolasinac,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4,0.0
32,10.0,Konstantinos Mavropanos,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4,0.0
33,11.0,Stephan Lichtsteiner,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4,0.0
34,12.0,Sokratis Papastathopoulos,DEF,0.0,44.0,0.0,0.0,13.0,0.0,7.0,38.0,0.2,0.0,0.0,0.0,1.0,3.0,0.0,2.2,22.0,0.0,0.0,0.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4,1.0
35,13.0,Mesut Özil,MID,0.0,18.0,0.0,0.0,3.0,0.0,1.0,15.0,2.3,0.0,0.0,0.0,0.0,2.0,0.0,1.5,1.0,0.0,0.0,0.0,67.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,85.0,4,0.0
36,14.0,Aaron Ramsey,MID,0.0,8.0,0.0,0.0,2.0,0.0,0.0,5.0,4.8,0.0,0.0,0.0,0.0,1.0,0.0,2.7,2.4,0.0,0.0,0.0,22.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,75.0,4,2.0
37,15.0,Alex Iwobi,MID,0.0,16.0,2.0,0.0,30.0,0.0,3.0,9.0,26.0,1.0,0.0,0.0,0.0,2.0,1.0,9.3,40.4,2.0,0.0,0.0,74.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,55.0,4,4.0
38,16.0,Mohamed Elneny,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
39,17.0,Granit Xhaka,MID,0.0,35.0,0.0,0.0,4.0,0.0,0.0,29.0,11.5,0.0,0.0,0.0,0.0,2.0,0.0,1.5,3.4,1.0,0.0,0.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4,2.0
40,18.0,Henrikh Mkhitaryan,MID,1.0,35.0,1.0,1.0,43.0,0.0,2.0,25.0,60.0,2.0,0.0,0.0,0.0,3.0,1.0,14.6,63.4,5.0,0.0,0.0,90.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,70.0,4,2.0
41,19.0,Reiss Nelson,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
