FixtureID,Team1,Team2,1 & No,%1 & No,1 & Yes,%1 & Yes,2 & No,%2 & No,2 & Yes,%2 & Yes,N & No,%N & No,N & Yes,%N & Yes
69,Huddersfield,Chelsea,7.00,6.01,8.75,3.15,1.95,43.00,2.85,26.81,7.75,4.62,4.05,16.41
74,Arsenal,Manchester City,6.50,7.12,4.75,12.79,2.85,26.82,2.45,32.55,13.50,-0.86,3.35,21.58
65,Manchester United,Leicester,1.85,45.74,2.85,26.78,7.50,5.02,9.75,1.94,7.50,5.02,4.20,15.50
73,Southampton,Burnley,2.05,40.32,3.60,19.32,5.25,10.59,8.50,3.31,5.75,8.94,3.85,17.52
72,Liverpool,West Ham,1.65,52.49,2.00,41.89,16.00,-1.86,13.00,-0.42,16.80,-2.16,5.50,10.07
66,Newcastle,Tottenham,4.75,12.74,5.50,9.87,2.60,30.15,3.30,21.99,7.75,4.59,3.45,20.67
71,Wolves,Everton,2.90,26.13,3.90,17.29,3.85,17.62,4.95,11.85,6.75,6.46,3.45,20.64
68,Fulham,Crystal Palace,3.40,21.03,3.65,19.01,3.85,17.59,4.00,16.61,8.50,3.38,3.25,22.38
70,Watford,Brighton,2.80,27.52,4.35,14.80,3.75,18.48,5.75,9.20,5.75,9.20,3.45,20.80
67,Bournemouth,Cardiff,2.35,34.25,3.05,24.49,5.50,9.88,6.25,7.70,8.00,4.20,3.60,19.48
